nome_municipio,codigo_ibge,SG_UF,FEMININO,MASCULINO,NÃO DIVULGÁVEL,NÃO INFORMADO
ANDORINHA,2901353,BA,4,46,0,0
ANDRADAS,3102605,MG,3,49,0,0
ANDRADINA,3502101,SP,8,67,0,0
ANDRELÂNDIA,3102803,MG,7,43,0,0
ANDRÉ DA ROCHA,4300661,RS,4,48,0,0
ANGATUBA,3502200,SP,7,44,0,0
ANGELIM,2601003,PE,6,46,0,0
ANGELINA,4200903,SC,3,49,0,0
ANGELÂNDIA,3102852,MG,6,42,0,0
ANGICAL,2901403,BA,2,49,0,0
ANGICAL DO PIAUÍ,2200608,PI,15,35,0,0
ANGICO,1701051,TO,9,43,0,0
ANGICOS,2400802,RN,13,39,0,0
ANGRA DOS REIS,3300100,RJ,15,61,0,0
ANGUERA,2901502,BA,8,44,0,0
ANGÉLICA,5000856,MS,7,45,0,0
ANHANGÜERA,5201207,GO,5,47,0,0
ANHEMBI,3502309,SP,5,49,0,0
ANHUMAS,3502408,SP,8,44,0,0
ANICUNS,5201306,GO,4,53,0,0
ANITA GARIBALDI,4201000,SC,4,47,0,0
ANITÁPOLIS,4201109,SC,5,47,0,0
ANORI,1300102,AM,7,49,0,0
ANTA GORDA,4300703,RS,5,46,0,0
ANTAS,2901601,BA,3,56,0,0
ANTONINA,4101200,PR,4,50,0,0
ANTONINA DO NORTE,2300804,CE,22,28,0,0
ANTONIO OLINTO,4101309,PR,2,48,0,0
ANTÔNIO ALMEIDA,2200806,PI,6,46,0,0
ANTÔNIO CARDOSO,2901700,BA,5,46,0,0
ANTÔNIO CARLOS,3102902,MG,4,46,0,0
ANTÔNIO CARLOS,4201208,SC,10,41,0,0
ANTÔNIO DIAS,3103009,MG,3,45,0,0
ANTÔNIO GONÇALVES,2901809,BA,9,43,0,0
ANTÔNIO JOÃO,5000906,MS,10,41,0,0
ANTÔNIO MARTINS,2400901,RN,9,43,0,0
ANTÔNIO PRADO,4300802,RS,7,45,0,0
ANTÔNIO PRADO DE MINAS,3103108,MG,3,49,0,0
ANÁPOLIS,5201108,GO,16,92,0,0
ANÍSIO DE ABREU,2200707,PI,10,44,0,0
APARECIDA,2500775,PB,17,37,0,0
APARECIDA,3502507,SP,6,34,0,0
APARECIDA D'OESTE,3502606,SP,4,48,0,0
APARECIDA DE GOIÂNIA,5201405,GO,3,113,0,0
APARECIDA DO RIO DOCE,5201454,GO,8,43,0,0
APARECIDA DO RIO NEGRO,1701101,TO,7,45,0,0
APARECIDA DO TABOADO,5001003,MS,5,46,0,0
APERIBÉ,3300159,RJ,3,48,0,0
APIACÁ,3200508,ES,4,47,0,0
APIACÁS,5100805,MT,10,40,0,0
APIAÍ,3502705,SP,1,54,0,0
APICUM-AÇU,2100832,MA,12,40,0,0
APIÚNA,4201257,SC,3,48,0,0
APODI,2401008,RN,6,60,0,0
APORÁ,2901908,BA,8,49,0,0
APORÉ,5201504,GO,10,41,0,0
APUAREMA,2901957,BA,8,42,0,0
APUCARANA,4101408,PR,7,59,0,0
APUIARÉS,2300903,CE,17,36,0,0
APUÍ,1300144,AM,2,51,0,0
AQUIDABÃ,2800209,SE,10,48,0,0
AQUIDAUANA,5001102,MS,2,62,0,0
AQUIRAZ,2301000,CE,14,64,0,0
ARABUTÃ,4201273,SC,9,42,0,0
ARACAJU,2800308,SE,17,106,0,0
ARACATI,2301109,CE,17,65,0,0
ARACATU,2902005,BA,11,42,0,0
ARACI,2902104,BA,14,62,0,0
ARACITABA,3103306,MG,10,41,0,0
ARACOIABA,2301208,CE,12,49,0,0
ARACRUZ,3200607,ES,13,69,0,0
ARAGARÇAS,5201702,GO,5,50,0,0
ARAGOIÂNIA,5201801,GO,8,43,0,0
ARAGOMINAS,1701309,TO,8,41,0,0
ARAGUACEMA,1701903,TO,2,46,0,0
ARAGUAIANA,5101001,MT,2,47,0,0
ARAGUAINHA,5101209,MT,11,41,0,0
ARAGUANÃ,1702158,TO,10,40,0,0
ARAGUANÃ,2100873,MA,3,46,0,0
ARAGUAPAZ,5202155,GO,10,37,0,0
ARAGUARI,3103504,MG,10,72,0,0
ARAGUATINS,1702208,TO,3,53,0,0
ARAGUAÇU,1702000,TO,11,41,0,0
ARAGUAÍNA,1702109,TO,10,68,0,0
ARAIOSES,2100907,MA,9,54,0,0
ARAL MOREIRA,5001243,MS,16,33,0,0
ARAMARI,2902203,BA,1,45,0,0
ARAMBARÉ,4300851,RS,12,40,0,0
ARAME,2100956,MA,8,56,0,0
ARAMINA,3503000,SP,6,45,0,0
ARANDU,3503109,SP,5,47,0,0
ARANTINA,3103603,MG,3,47,0,0
